Time [s],P1 [kPa],P2 [kPa],P3 [kPa]
50.83,11.344790515439154,37.874289998056945,87.28092383331044
50.84,42.31340570173866,8.654102044666079,85.53249647873919
50.85,75.23516491551045,1.9609599744577384,59.30387721418569
50.86,89.97214402778893,21.900548245754845,24.627307006737656
50.870000000000005,77.49704905115141,56.28447635747531,2.718472072583129
50.88,45.43289554212734,84.07163884373666,6.995463422906669
50.89,13.405143895976554,88.24251488541441,34.85234128205356
50.9,1.033851903194376,66.23015559671965,69.2359953650858
50.910000000000004,15.910211962842299,31.51085602365663,89.0789365103815
50.92,48.928245153684436,5.362279748562392,82.20947905585497
50.93,79.8487277948147,3.8243876251374567,52.82688615802627
50.94,89.7018118261508,27.853010679702113,18.94517630986581
50.95,72.43017259776528,62.71490473478817,1.3549200337454543
50.96,38.62336798001125,87.0135237811816,10.863106358996527
50.97,9.034752874668069,85.8211232340234,41.64412450682186
50.980000000000004,1.8440895037715355,59.85743862160017,74.79847519478237
50.99,21.481760344680826,25.06639132281905,89.95185290453978
51.0,55.888318642409594,2.832521732505392,77.77916322588632
51.01,83.91104713366052,6.836031076907343,45.75292279206914
51.02,88.30654071359561,34.627045547190406,13.56641211439175
51.03,66.35777171120688,69.11377144566984,1.0284541785787849
51.04,31.564505569312885,89.06746025869721,15.868032696372628
51.050000000000004,5.348757717935575,82.19175223491378,48.95949125799232
51.06,3.8663198838411557,52.70930463845849,79.92437921815994
51.07,28.04324860559012,18.779343518829595,89.677412429689
51.08,62.98643065444055,1.318725155736285,72.19484733910691
51.09,87.14982422586037,11.104656505443046,38.24551966000431
51.1,85.6197943274796,42.11310723405003,8.767096419577838
51.11,59.327795616824005,75.21643863462548,1.9557631549720915
51.120000000000005,24.49449312197583,89.97721458799846,22.028291313014712
51.13,2.6298488243948492,77.26948946725784,56.600663541807016
51.14,7.249506674650392,44.93102591629552,84.31947151102584
51.15,35.51143626992938,12.93953576741869,88.04903238879928
51.160000000000004,69.95332253488576,1.0752989327295286,65.47138113696282
51.17,89.27552625150318,16.68656168990534,30.537911821445032
51.18,81.51522049400023,50.12787996803638,4.856897196692486
51.19,51.4621158115244,80.70961344384331,4.328268339557066
51.2,17.713085222159304,89.49500264045116,29.291911749355933
51.21,1.1701253279075785,71.0315627461215,64.29831438752763
51.22,12.092028683705829,36.74582193940816,87.66215375536116
